client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20250107-080000-001-000-1,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-001,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-088,MARKET,BUY,100000,IOC,False,False,100000,TAKER,1.04243,0.0,['2.08 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,10076232-ce85-4f6b-adb5-c57a9b17ca20,2025-01-07 08:00:00+00:00,2025-01-07 08:00:00+00:00
O-20250107-120000-001-000-2,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-002,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-093,MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.03918,0.0,['2.08 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b19ec7cf-6795-4334-a0b8-47b776b67bef,2025-01-07 12:00:00+00:00,2025-01-07 12:00:00+00:00
O-20250108-180000-001-000-3,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-003,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-124,MARKET,BUY,100000,IOC,False,False,100000,TAKER,1.03157,0.0,['2.06 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,9bc0504d-7651-487b-b563-4642167d6580,2025-01-08 18:00:00+00:00,2025-01-08 18:00:00+00:00
O-20250110-050000-001-000-4,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-004,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-160,MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.02881,0.0,['2.06 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,cf271580-4960-4449-a39d-fa74a63e0428,2025-01-10 05:00:00+00:00,2025-01-10 05:00:00+00:00
O-20250110-080000-001-000-5,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-005,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-164,MARKET,BUY,100000,IOC,False,False,100000,TAKER,1.03061,0.0,['2.06 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b2193fa6-9176-48c9-ac89-c2a0cbbd64f9,2025-01-10 08:00:00+00:00,2025-01-10 08:00:00+00:00
O-20250110-130000-001-000-6,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-006,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-170,MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.02575,0.0,['2.05 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5ffa9b6d-7424-4715-9f9d-127bb18e49c4,2025-01-10 13:00:00+00:00,2025-01-10 13:00:00+00:00
O-20250113-140000-001-000-7,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-007,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-195,MARKET,BUY,100000,IOC,False,False,100000,TAKER,1.02114,0.0,['2.04 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e8423bff-a959-4ef9-ada5-b8dad74b45b3,2025-01-13 14:00:00+00:00,2025-01-13 14:00:00+00:00
O-20250115-030000-001-000-8,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-008,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-233,MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.0305,0.0,['2.06 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f2004e0c-c65e-4fce-b680-2da4acb4af96,2025-01-15 03:00:00+00:00,2025-01-15 03:00:00+00:00
O-20250115-130000-001-000-9,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-009,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-244,MARKET,BUY,100000,IOC,False,False,100000,TAKER,1.03477,0.0,['2.07 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b1eb41bf-11b3-4ada-9e68-b43ed2dac922,2025-01-15 13:00:00+00:00,2025-01-15 13:00:00+00:00
O-20250115-150000-001-000-10,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-010,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-247,MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.03082,0.0,['2.06 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,463befeb-09f9-4056-b9c7-af18a0576623,2025-01-15 15:00:00+00:00,2025-01-15 15:00:00+00:00
