,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2025-01-01 05:00:00+00:00,10000.00,0.00,10000.00,USD,SIM-001,MARGIN,USD,[],True,{}
2025-01-07 08:00:00+00:00,9997.92,0.00,9997.92,USD,SIM-001,MARGIN,USD,[],False,{}
2025-01-07 12:00:00+00:00,9670.84,312.94,9357.90,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '312.94', 'currency': 'USD', 'instrument_id': 'EUR/USD.SIM'}]",False,{}
2025-01-08 18:00:00+00:00,9668.78,0.00,9668.78,USD,SIM-001,MARGIN,USD,[],False,{}
2025-01-10 05:00:00+00:00,9390.72,309.68,9081.04,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '309.68', 'currency': 'USD', 'instrument_id': 'EUR/USD.SIM'}]",False,{}
2025-01-10 08:00:00+00:00,9388.66,0.00,9388.66,USD,SIM-001,MARGIN,USD,[],False,{}
2025-01-10 13:00:00+00:00,8900.61,309.39,8591.22,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '309.39', 'currency': 'USD', 'instrument_id': 'EUR/USD.SIM'}]",False,{}
2025-01-13 14:00:00+00:00,8898.57,0.00,8898.57,USD,SIM-001,MARGIN,USD,[],False,{}
2025-01-15 03:00:00+00:00,9832.51,306.55,9525.96,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '306.55', 'currency': 'USD', 'instrument_id': 'EUR/USD.SIM'}]",False,{}
2025-01-15 13:00:00+00:00,9830.44,0.00,9830.44,USD,SIM-001,MARGIN,USD,[],False,{}
2025-01-15 15:00:00+00:00,9433.38,310.64,9122.74,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '310.64', 'currency': 'USD', 'instrument_id': 'EUR/USD.SIM'}]",False,{}
2025-01-16 16:00:00+00:00,9431.32,0.00,9431.32,USD,SIM-001,MARGIN,USD,[],False,{}
2025-01-17 04:00:00+00:00,9344.26,309.36,9034.90,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '309.36', 'currency': 'USD', 'instrument_id': 'EUR/USD.SIM'}]",False,{}
2025-01-17 11:00:00+00:00,9342.20,0.00,9342.20,USD,SIM-001,MARGIN,USD,[],False,{}
2025-01-17 12:00:00+00:00,9233.14,309.42,8923.72,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '309.42', 'currency': 'USD', 'instrument_id': 'EUR/USD.SIM'}]",False,{}
