client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20250107-080000-001-000-1,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-001,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-088,MARKET,BUY,100000,IOC,False,False,100000,TAKER,1.04243,0.0,['2.08 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,87f04a6b-8a59-4f7c-8a72-69dbf703bb4b,2025-01-07 08:00:00+00:00,2025-01-07 08:00:00+00:00
O-20250107-120000-001-000-2,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-002,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-093,MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.03918,0.0,['2.08 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,24683021-31a5-4a12-a000-23bf8b9ddbec,2025-01-07 12:00:00+00:00,2025-01-07 12:00:00+00:00
O-20250108-180000-001-000-3,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-003,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-124,MARKET,BUY,100000,IOC,False,False,100000,TAKER,1.03157,0.0,['2.06 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e591c8b4-cefe-43ae-9e51-304f44fd2597,2025-01-08 18:00:00+00:00,2025-01-08 18:00:00+00:00
O-20250110-050000-001-000-4,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-004,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-160,MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.02881,0.0,['2.06 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,efed25f3-ba9e-41b6-9714-f88d3d762e78,2025-01-10 05:00:00+00:00,2025-01-10 05:00:00+00:00
O-20250110-080000-001-000-5,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-005,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-164,MARKET,BUY,100000,IOC,False,False,100000,TAKER,1.03061,0.0,['2.06 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,7e0ced80-af7f-4159-b3b3-c32184c89c29,2025-01-10 08:00:00+00:00,2025-01-10 08:00:00+00:00
O-20250110-130000-001-000-6,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-006,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-170,MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.02575,0.0,['2.05 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,088c8c07-3d26-473b-9e4a-36e563323520,2025-01-10 13:00:00+00:00,2025-01-10 13:00:00+00:00
O-20250113-140000-001-000-7,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-007,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-195,MARKET,BUY,100000,IOC,False,False,100000,TAKER,1.02114,0.0,['2.04 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,bf601f62-af2b-4e5d-acef-f5110474e50e,2025-01-13 14:00:00+00:00,2025-01-13 14:00:00+00:00
O-20250115-030000-001-000-8,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-008,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-233,MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.0305,0.0,['2.06 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,da0b70d5-1292-4f3e-8c9d-790f19326223,2025-01-15 03:00:00+00:00,2025-01-15 03:00:00+00:00
O-20250115-130000-001-000-9,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-009,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-244,MARKET,BUY,100000,IOC,False,False,100000,TAKER,1.03477,0.0,['2.07 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e686116b-0059-4a6d-a1b9-94866a61ab32,2025-01-15 13:00:00+00:00,2025-01-15 13:00:00+00:00
O-20250115-150000-001-000-10,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-1-010,EUR/USD.SIM-MACDCross-000,SIM-001,SIM-1-247,MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.03082,0.0,['2.06 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3bfedade-3c2a-4938-9cee-7261c0521f39,2025-01-15 15:00:00+00:00,2025-01-15 15:00:00+00:00
