position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl
EUR/USD.SIM-MACDCross-000-213d31ee-4227-44e6-9a37-efe0798e970c,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250107-080000-001-000-1,O-20250107-120000-001-000-2,BUY,FLAT,0,100000,2025-01-07 08:00:00+00:00,1736251200000000000,2025-01-07 12:00:00+00:00,14400000000000,1.04243,1.03918,['4.16 USD'],-0.00312,-329.16 USD
EUR/USD.SIM-MACDCross-000-50c83c5a-dcc2-4102-ae2e-304a9df56994,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250108-180000-001-000-3,O-20250110-050000-001-000-4,BUY,FLAT,0,100000,2025-01-08 18:00:00+00:00,1736485200000000000,2025-01-10 05:00:00+00:00,126000000000000,1.03157,1.02881,['4.12 USD'],-0.00268,-280.12 USD
EUR/USD.SIM-MACDCross-000-878f9802-5bf8-4ec9-ae32-54b15c8d020e,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250110-080000-001-000-5,O-20250110-130000-001-000-6,BUY,FLAT,0,100000,2025-01-10 08:00:00+00:00,1736514000000000000,2025-01-10 13:00:00+00:00,18000000000000,1.03061,1.02575,['4.11 USD'],-0.00472,-490.11 USD
EUR/USD.SIM-MACDCross-000-e3c6ff9e-7296-45fe-b5a5-aa48212fc575,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250113-140000-001-000-7,O-20250115-030000-001-000-8,BUY,FLAT,0,100000,2025-01-13 14:00:00+00:00,1736910000000000000,2025-01-15 03:00:00+00:00,133200000000000,1.02114,1.0305,['4.10 USD'],0.00917,931.90 USD
EUR/USD.SIM-MACDCross-000-141bbe83-2b28-4fef-8b7e-4a58fb279bef,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250115-130000-001-000-9,O-20250115-150000-001-000-10,BUY,FLAT,0,100000,2025-01-15 13:00:00+00:00,1736953200000000000,2025-01-15 15:00:00+00:00,7200000000000,1.03477,1.03082,['4.13 USD'],-0.00382,-399.13 USD
EUR/USD.SIM-MACDCross-000-3518530b-18b2-4ba2-ad2d-f261c6faedd2,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250116-160000-001-000-11,O-20250117-040000-001-000-12,BUY,FLAT,0,100000,2025-01-16 16:00:00+00:00,1737086400000000000,2025-01-17 04:00:00+00:00,43200000000000,1.0305,1.02965,['4.12 USD'],-0.00082,-89.12 USD
EUR/USD.SIM-MACDCross-000-605cbd40-aa7e-479a-a1a2-70b06a792cc8,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250117-110000-001-000-13,O-20250117-120000-001-000-14,BUY,FLAT,0,100000,2025-01-17 11:00:00+00:00,1737115200000000000,2025-01-17 12:00:00+00:00,3600000000000,1.03072,1.02965,['4.12 USD'],-0.00104,-111.12 USD
EUR/USD.SIM-MACDCross-000-29f7abb8-7dd7-4bb6-98d7-531d518853a5,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250120-030000-001-000-15,O-20250121-000000-001-000-16,BUY,FLAT,0,100000,2025-01-20 03:00:00+00:00,1737417600000000000,2025-01-21 00:00:00+00:00,75600000000000,1.03082,1.0367,['4.13 USD'],0.0057,583.87 USD
EUR/USD.SIM-MACDCross-000-512ca4e6-1d76-4726-b10a-6e13ae20ff72,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250121-160000-001-000-17,O-20250122-020000-001-000-18,BUY,FLAT,0,100000,2025-01-21 16:00:00+00:00,1737511200000000000,2025-01-22 02:00:00+00:00,36000000000000,1.04254,1.04156,['4.17 USD'],-0.00094,-102.17 USD
EUR/USD.SIM-MACDCross-000-6624b37b-62d4-417f-b377-c8093e7f881f,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250122-090000-001-000-19,O-20250122-140000-001-000-20,BUY,FLAT,0,100000,2025-01-22 09:00:00+00:00,1737554400000000000,2025-01-22 14:00:00+00:00,18000000000000,1.04493,1.04286,['4.18 USD'],-0.00198,-211.18 USD
EUR/USD.SIM-MACDCross-000-63455094-c6c7-4f94-b116-7c5d526386ec,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250123-140000-001-000-21,O-20250123-150000-001-000-22,BUY,FLAT,0,100000,2025-01-23 14:00:00+00:00,1737644400000000000,2025-01-23 15:00:00+00:00,3600000000000,1.04112,1.03993,['4.16 USD'],-0.00114,-123.16 USD
EUR/USD.SIM-MACDCross-000-4193e39a-4ce9-4077-80a1-eda7b5be2310,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250123-160000-001-000-23,O-20250124-200000-001-000-24,BUY,FLAT,0,100000,2025-01-23 16:00:00+00:00,1737748800000000000,2025-01-24 20:00:00+00:00,100800000000000,1.04221,1.04976,['4.18 USD'],0.00724,750.82 USD
EUR/USD.SIM-MACDCross-000-9122cd79-d86b-4d84-8276-4323d763ff97,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250127-110000-001-000-25,O-20250127-170000-001-000-26,BUY,FLAT,0,100000,2025-01-27 11:00:00+00:00,1737997200000000000,2025-01-27 17:00:00+00:00,21600000000000,1.05152,1.04921,['4.20 USD'],-0.0022,-235.20 USD
EUR/USD.SIM-MACDCross-000-8316cff8-b814-465b-82b9-fee80f24a375,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250128-160000-001-000-27,O-20250129-090000-001-000-28,BUY,FLAT,0,100000,2025-01-28 16:00:00+00:00,1738141200000000000,2025-01-29 09:00:00+00:00,61200000000000,1.04275,1.04058,['4.17 USD'],-0.00208,-221.17 USD
EUR/USD.SIM-MACDCross-000-c9e545f6-812a-4855-8b8e-55a0137e1338,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250129-160000-001-000-29,O-20250130-090000-001-000-30,BUY,FLAT,0,100000,2025-01-29 16:00:00+00:00,1738227600000000000,2025-01-30 09:00:00+00:00,61200000000000,1.0421,1.04091,['4.16 USD'],-0.00114,-123.16 USD
EUR/USD.SIM-MACDCross-000-01c588da-8c14-42dc-8c44-05292418181d,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250130-130000-001-000-31,O-20250130-210000-001-000-32,BUY,FLAT,0,100000,2025-01-30 13:00:00+00:00,1738270800000000000,2025-01-30 21:00:00+00:00,28800000000000,1.04592,1.0395,['4.17 USD'],-0.00614,-646.17 USD
EUR/USD.SIM-MACDCross-000-0f70e6e8-3c1d-4179-9c5d-c9f86cc2bf0c,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250131-070000-001-000-33,O-20250131-080000-001-000-34,BUY,FLAT,0,100000,2025-01-31 07:00:00+00:00,1738310400000000000,2025-01-31 08:00:00+00:00,3600000000000,1.0408,1.03875,['4.16 USD'],-0.00197,-209.16 USD
EUR/USD.SIM-MACDCross-000-b02138cf-dd59-43ee-80b5-0470fa440ddf,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250131-150000-001-000-35,O-20250131-210000-001-000-36,BUY,FLAT,0,100000,2025-01-31 15:00:00+00:00,1738357200000000000,2025-01-31 21:00:00+00:00,21600000000000,1.04004,1.03627,['4.15 USD'],-0.00362,-381.15 USD
EUR/USD.SIM-MACDCross-000-b4872da0-409d-4461-bbf2-7715820b7ad9,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250203-120000-001-000-37,O-20250205-010000-001-000-38,BUY,FLAT,0,100000,2025-02-03 12:00:00+00:00,1738717200000000000,2025-02-05 01:00:00+00:00,133200000000000,1.02585,1.03767,['4.13 USD'],0.01152,1177.87 USD
EUR/USD.SIM-MACDCross-000-9808d7c9-31a5-404c-8004-ef8fc5c31dbb,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250205-080000-001-000-39,O-20250205-160000-001-000-40,BUY,FLAT,0,100000,2025-02-05 08:00:00+00:00,1738771200000000000,2025-02-05 16:00:00+00:00,28800000000000,1.04058,1.04199,['4.16 USD'],0.00136,136.84 USD
EUR/USD.SIM-MACDCross-000-8c1e67a5-8b46-4958-beee-5e7d3b748a85,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250206-180000-001-000-41,O-20250207-120000-001-000-42,BUY,FLAT,0,100000,2025-02-06 18:00:00+00:00,1738929600000000000,2025-02-07 12:00:00+00:00,64800000000000,1.03928,1.03778,['4.16 USD'],-0.00144,-154.16 USD
EUR/USD.SIM-MACDCross-000-8e2855dc-a947-4606-b091-1890e5bf4831,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250210-080000-001-000-43,O-20250212-050000-001-000-44,BUY,FLAT,0,100000,2025-02-10 08:00:00+00:00,1739336400000000000,2025-02-12 05:00:00+00:00,162000000000000,1.03242,1.03605,['4.13 USD'],0.00352,358.87 USD
EUR/USD.SIM-MACDCross-000-2a740143-3428-41e1-9880-0491734bbec4,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250212-070000-001-000-45,O-20250212-130000-001-000-46,BUY,FLAT,0,100000,2025-02-12 07:00:00+00:00,1739365200000000000,2025-02-12 13:00:00+00:00,21600000000000,1.03767,1.0337,['4.15 USD'],-0.00383,-401.15 USD
EUR/USD.SIM-MACDCross-000-52b64345-bee4-470d-bcfc-6732f3b12439,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250212-170000-001-000-47,O-20250212-220000-001-000-48,BUY,FLAT,0,100000,2025-02-12 17:00:00+00:00,1739397600000000000,2025-02-12 22:00:00+00:00,18000000000000,1.04297,1.03875,['4.17 USD'],-0.00405,-426.17 USD
EUR/USD.SIM-MACDCross-000-b2093f10-9616-4bb3-abef-c6576eb6a526,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250213-020000-001-000-49,O-20250213-100000-001-000-50,BUY,FLAT,0,100000,2025-02-13 02:00:00+00:00,1739440800000000000,2025-02-13 10:00:00+00:00,28800000000000,1.04069,1.04188,['4.16 USD'],0.00114,114.84 USD
EUR/USD.SIM-MACDCross-000-8e482733-eb0e-4893-9d8c-d4d49a584d4f,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250213-200000-001-000-51,O-20250214-050000-001-000-52,BUY,FLAT,0,100000,2025-02-13 20:00:00+00:00,1739509200000000000,2025-02-14 05:00:00+00:00,32400000000000,1.04646,1.04559,['4.18 USD'],-0.00083,-91.18 USD
EUR/USD.SIM-MACDCross-000-2b674f60-5bad-45b4-9d92-ee96a2a71a2e,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250214-090000-001-000-53,O-20250214-100000-001-000-54,BUY,FLAT,0,100000,2025-02-14 09:00:00+00:00,1739527200000000000,2025-02-14 10:00:00+00:00,3600000000000,1.04833,1.04679,['4.19 USD'],-0.00147,-158.19 USD
EUR/USD.SIM-MACDCross-000-876c67c9-4fa5-457a-9c01-6634b8304440,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250214-140000-001-000-55,O-20250214-200000-001-000-56,BUY,FLAT,0,100000,2025-02-14 14:00:00+00:00,1739563200000000000,2025-02-14 20:00:00+00:00,21600000000000,1.05097,1.04943,['4.20 USD'],-0.00147,-158.20 USD
EUR/USD.SIM-MACDCross-000-947513c0-361f-4a4e-baf5-51844d0dc61c,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250218-230000-001-000-57,O-20250219-090000-001-000-58,BUY,FLAT,0,100000,2025-02-18 23:00:00+00:00,1739955600000000000,2025-02-19 09:00:00+00:00,36000000000000,1.04504,1.0433,['4.18 USD'],-0.00167,-178.18 USD
EUR/USD.SIM-MACDCross-000-7bdc6fb4-393d-4e3b-a57b-44487cf491a5,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250219-210000-001-000-59,O-20250221-050000-001-000-60,BUY,FLAT,0,100000,2025-02-19 21:00:00+00:00,1740114000000000000,2025-02-21 05:00:00+00:00,115200000000000,1.04264,1.04965,['4.19 USD'],0.00672,696.81 USD
EUR/USD.SIM-MACDCross-000-77235e51-0a79-47ac-a82a-79fc4fbb6e47,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250224-000000-001-000-61,O-20250224-080000-001-000-62,BUY,FLAT,0,100000,2025-02-24 00:00:00+00:00,1740384000000000000,2025-02-24 08:00:00+00:00,28800000000000,1.05064,1.04822,['4.20 USD'],-0.0023,-246.20 USD
EUR/USD.SIM-MACDCross-000-48241591-4cd7-4347-b048-01b92d233600,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250225-030000-001-000-63,O-20250226-030000-001-000-64,BUY,FLAT,0,100000,2025-02-25 03:00:00+00:00,1740538800000000000,2025-02-26 03:00:00+00:00,86400000000000,1.04756,1.05075,['4.20 USD'],0.00305,314.80 USD
EUR/USD.SIM-MACDCross-000-9a38affa-cdf9-4d9d-8bb0-1e45b5caca6f,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250227-090000-001-000-65,O-20250227-130000-001-000-66,BUY,FLAT,0,100000,2025-02-27 09:00:00+00:00,1740661200000000000,2025-02-27 13:00:00+00:00,14400000000000,1.04855,1.04264,['4.19 USD'],-0.00564,-595.19 USD
EUR/USD.SIM-MACDCross-000-ff4cbb66-bb2b-46bf-8d93-8c2ee9bdaeef,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250228-060000-001-000-67,O-20250228-190000-001-000-68,BUY,FLAT,0,100000,2025-02-28 06:00:00+00:00,1740769200000000000,2025-02-28 19:00:00+00:00,46800000000000,1.03885,1.03702,['4.15 USD'],-0.00176,-187.15 USD
EUR/USD.SIM-MACDCross-000-d1830da9-9371-4ebc-a34f-42e85f18b246,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250303-000000-001-000-69,O-20250304-010000-001-000-70,BUY,FLAT,0,100000,2025-03-03 00:00:00+00:00,1741050000000000000,2025-03-04 01:00:00+00:00,90000000000000,1.04123,1.04899,['4.18 USD'],0.00745,771.82 USD
EUR/USD.SIM-MACDCross-000-ee8b6837-ea36-4385-8f79-5194a37ffaf3,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250304-090000-001-000-71,O-20250305-060000-001-000-72,BUY,FLAT,0,100000,2025-03-04 09:00:00+00:00,1741154400000000000,2025-03-05 06:00:00+00:00,75600000000000,1.05152,1.06349,['4.23 USD'],0.01138,1192.77 USD
EUR/USD.SIM-MACDCross-000-4aca6f06-f67a-4932-8c5d-b7f21d03c3e0,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250305-070000-001-000-73,O-20250306-000000-001-000-74,BUY,FLAT,0,100000,2025-03-05 07:00:00+00:00,1741219200000000000,2025-03-06 00:00:00+00:00,61200000000000,1.06769,1.0798,['4.30 USD'],0.01134,1206.70 USD
EUR/USD.SIM-MACDCross-000-4fd232a3-2770-4555-9d28-cb48ee4e431a,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250307-070000-001-000-75,O-20250307-170000-001-000-76,BUY,FLAT,0,100000,2025-03-07 07:00:00+00:00,1741366800000000000,2025-03-07 17:00:00+00:00,36000000000000,1.08331,1.0846,['4.34 USD'],0.00119,124.66 USD
EUR/USD.SIM-MACDCross-000-94546410-8b34-4211-9d35-713fc0953ac1,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250311-000000-001-000-77,O-20250311-210000-001-000-78,BUY,FLAT,0,100000,2025-03-11 00:00:00+00:00,1741726800000000000,2025-03-11 21:00:00+00:00,75600000000000,1.08554,1.09146,['4.35 USD'],0.00545,587.65 USD
EUR/USD.SIM-MACDCross-000-3b4df150-8045-49b7-b871-913986c308cf,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250313-220000-001-000-79,O-20250314-010000-001-000-80,BUY,FLAT,0,100000,2025-03-13 22:00:00+00:00,1741914000000000000,2025-03-14 01:00:00+00:00,10800000000000,1.08554,1.08436,['4.34 USD'],-0.00109,-122.34 USD
EUR/USD.SIM-MACDCross-000-13b72d25-7396-4265-b277-93b72e299016,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250314-050000-001-000-81,O-20250317-050000-001-000-82,BUY,FLAT,0,100000,2025-03-14 05:00:00+00:00,1742187600000000000,2025-03-17 05:00:00+00:00,259200000000000,1.08542,1.08802,['4.35 USD'],0.0024,255.65 USD
EUR/USD.SIM-MACDCross-000-b841198f-75d3-430b-9b22-146735d7f033,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250317-090000-001-000-83,O-20250318-000000-001-000-84,BUY,FLAT,0,100000,2025-03-17 09:00:00+00:00,1742256000000000000,2025-03-18 00:00:00+00:00,54000000000000,1.09016,1.09194,['4.36 USD'],0.00163,173.64 USD
EUR/USD.SIM-MACDCross-000-49b8a0b1-5b0e-4f5e-b4c7-d6ff6164dbc7,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250318-080000-001-000-85,O-20250318-110000-001-000-86,BUY,FLAT,0,100000,2025-03-18 08:00:00+00:00,1742295600000000000,2025-03-18 11:00:00+00:00,10800000000000,1.09553,1.09194,['4.37 USD'],-0.00328,-363.37 USD
EUR/USD.SIM-MACDCross-000-12e4402e-1eb9-4fc4-be54-ccf7c995fda0,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250318-170000-001-000-87,O-20250319-000000-001-000-88,BUY,FLAT,0,100000,2025-03-18 17:00:00+00:00,1742342400000000000,2025-03-19 00:00:00+00:00,25200000000000,1.09517,1.09385,['4.38 USD'],-0.00121,-136.38 USD
EUR/USD.SIM-MACDCross-000-09ae5e05-3d6d-4379-bade-a9bd960f6e9f,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250319-200000-001-000-89,O-20250320-070000-001-000-90,BUY,FLAT,0,100000,2025-03-19 20:00:00+00:00,1742454000000000000,2025-03-20 07:00:00+00:00,39600000000000,1.09063,1.08826,['4.36 USD'],-0.00217,-241.36 USD
EUR/USD.SIM-MACDCross-000-7e903f29-f75c-4282-88b9-731a0f01fec3,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250320-190000-001-000-91,O-20250321-050000-001-000-92,BUY,FLAT,0,100000,2025-03-20 19:00:00+00:00,1742533200000000000,2025-03-21 05:00:00+00:00,36000000000000,1.08566,1.08319,['4.34 USD'],-0.00228,-251.34 USD
EUR/USD.SIM-MACDCross-000-35604ace-e7bc-4cd5-90db-2d4ffc62a6af,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250321-070000-001-000-93,O-20250321-150000-001-000-94,BUY,FLAT,0,100000,2025-03-21 07:00:00+00:00,1742569200000000000,2025-03-21 15:00:00+00:00,28800000000000,1.08401,1.0812,['4.33 USD'],-0.00259,-285.33 USD
EUR/USD.SIM-MACDCross-000-13813366-7b33-4080-ab7b-20794d5fa286,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250324-000000-001-000-95,O-20250324-130000-001-000-96,BUY,FLAT,0,100000,2025-03-24 00:00:00+00:00,1742821200000000000,2025-03-24 13:00:00+00:00,46800000000000,1.08401,1.07991,['4.33 USD'],-0.00378,-414.33 USD
